HG00376	0.015072 0.039410 0.000010 0.000010 0.945498
HG00378	0.018024 0.057610 0.000010 0.000010 0.924347
HG00379	0.019947 0.039229 0.000010 0.000010 0.940804
HG00380	0.009704 0.029404 0.000010 0.000010 0.960872
HG00381	0.020999 0.051250 0.000010 0.000010 0.927731
HG00382	0.019166 0.067464 0.000010 0.000010 0.913350
HG00383	0.025057 0.059258 0.000010 0.000010 0.915665
HG00384	0.021142 0.043426 0.000010 0.000010 0.935412
HG00403	0.000010 0.999960 0.000010 0.000010 0.000010
HG00404	0.000010 0.999960 0.000010 0.000010 0.000010
HG00406	0.000010 0.999960 0.000010 0.000010 0.000010
HG00407	0.000010 0.999960 0.000010 0.000010 0.000010
HG00409	0.003479 0.976830 0.019670 0.000010 0.000010
HG00410	0.001269 0.974880 0.023831 0.000010 0.000010
HG00419	0.000010 0.999960 0.000010 0.000010 0.000010
HG00421	0.000010 0.999960 0.000010 0.000010 0.000010
HG00422	0.000010 0.999960 0.000010 0.000010 0.000010
HG00428	0.000010 0.999960 0.000010 0.000010 0.000010
HG00436	0.000010 0.999960 0.000010 0.000010 0.000010
HG00437	0.000010 0.999960 0.000010 0.000010 0.000010
HG00442	0.000010 0.999960 0.000010 0.000010 0.000010
HG00443	0.000010 0.999960 0.000010 0.000010 0.000010
HG00445	0.000010 0.999960 0.000010 0.000010 0.000010
HG00446	0.000010 0.999960 0.000010 0.000010 0.000010
HG00448	0.000010 0.999960 0.000010 0.000010 0.000010
HG00449	0.000010 0.999960 0.000010 0.000010 0.000010
HG00451	0.000010 0.999960 0.000010 0.000010 0.000010
HG00452	0.000010 0.999960 0.000010 0.000010 0.000010
HG00457	0.000010 0.999960 0.000010 0.000010 0.000010
HG00458	0.000010 0.999960 0.000010 0.000010 0.000010
HG00463	0.000010 0.999960 0.000010 0.000010 0.000010
HG00464	0.000010 0.999960 0.000010 0.000010 0.000010
HG00472	0.000010 0.999960 0.000010 0.000010 0.000010
HG00473	0.000010 0.999960 0.000010 0.000010 0.000010
HG00475	0.000010 0.999960 0.000010 0.000010 0.000010
HG00476	0.000010 0.999960 0.000010 0.000010 0.000010
HG00478	0.000010 0.999960 0.000010 0.000010 0.000010
HG00479	0.000010 0.999960 0.000010 0.000010 0.000010
HG00500	0.000895 0.999075 0.000010 0.000010 0.000010
HG00513	0.000010 0.999960 0.000010 0.000010 0.000010
