FID	IID	SEX
HG01440	HG01440	1
HG01441	HG01441	2
HG01443	HG01443	1
HG01444	HG01444	2
HG01447	HG01447	2
HG01455	HG01455	1
HG01456	HG01456	2
HG01459	HG01459	2
HG01461	HG01461	1
HG01462	HG01462	2
HG01464	HG01464	1
HG01465	HG01465	2
HG01468	HG01468	2
HG01474	HG01474	2
HG01479	HG01479	1
HG01485	HG01485	1
HG01486	HG01486	2
HG01488	HG01488	1
HG01489	HG01489	2
HG01491	HG01491	1
HG01492	HG01492	2
HG01494	HG01494	1
HG01495	HG01495	2
HG01497	HG01497	1
HG01498	HG01498	2
HG01500	HG01500	1
HG01501	HG01501	2
HG01503	HG01503	1
HG01504	HG01504	2
HG01506	HG01506	1
HG01507	HG01507	2
HG01509	HG01509	1
HG01510	HG01510	2
HG01512	HG01512	1
HG01513	HG01513	2
HG01515	HG01515	1
HG01516	HG01516	2
HG01518	HG01518	1
HG01519	HG01519	2
HG01521	HG01521	1
HG01522	HG01522	2
HG01524	HG01524	1
HG01525	HG01525	2
HG01527	HG01527	1
HG01528	HG01528	2
HG01530	HG01530	1
HG01531	HG01531	2
HG01536	HG01536	1
HG01537	HG01537	2
HG01550	HG01550	1
HG01551	HG01551	2
HG01556	HG01556	1
HG01565	HG01565	1
HG01566	HG01566	2
HG01571	HG01571	1
HG01572	HG01572	2
HG01577	HG01577	1
HG01578	HG01578	2
HG01583	HG01583	1
HG01586	HG01586	1
HG01589	HG01589	1
HG01593	HG01593	2
HG01595	HG01595	2
HG01596	HG01596	1
HG01597	HG01597	2
HG01598	HG01598	2
HG01599	HG01599	2
HG01600	HG01600	2
HG01602	HG01602	2
HG01603	HG01603	1
HG01605	HG01605	2
HG01606	HG01606	1
HG01607	HG01607	2
HG01608	HG01608	1
HG01610	HG01610	1
HG01612	HG01612	2
HG01613	HG01613	2
HG01615	HG01615	1
HG01617	HG01617	1
HG01618	HG01618	2
HG01619	HG01619	1
HG01620	HG01620	2
HG01623	HG01623	2
HG01624	HG01624	1
HG01625	HG01625	1
HG01626	HG01626	2
HG01628	HG01628	2
HG01630	HG01630	1
HG01631	HG01631	1
HG01632	HG01632	2
HG01668	HG01668	2
HG01669	HG01669	1
HG01670	HG01670	2
HG01672	HG01672	1
HG01673	HG01673	2
HG01675	HG01675	1
