FID	IID	SEX
NA20535	NA20535	2
NA20536	NA20536	1
NA20538	NA20538	1
NA20539	NA20539	1
NA20540	NA20540	2
NA20541	NA20541	2
NA20542	NA20542	2
NA20543	NA20543	1
NA20544	NA20544	1
NA20581	NA20581	1
NA20582	NA20582	2
NA20585	NA20585	2
NA20586	NA20586	1
NA20587	NA20587	2
NA20588	NA20588	1
NA20589	NA20589	2
NA20752	NA20752	1
NA20753	NA20753	2
NA20754	NA20754	1
NA20755	NA20755	1
NA20756	NA20756	2
NA20757	NA20757	2
NA20758	NA20758	1
NA20759	NA20759	1
NA20760	NA20760	2
NA20761	NA20761	2
NA20762	NA20762	1
NA20763	NA20763	1
NA20764	NA20764	2
NA20765	NA20765	1
NA20766	NA20766	2
NA20767	NA20767	1
NA20768	NA20768	2
NA20769	NA20769	2
NA20770	NA20770	1
NA20771	NA20771	2
NA20772	NA20772	2
NA20773	NA20773	2
NA20774	NA20774	2
NA20775	NA20775	2
NA20778	NA20778	1
NA20783	NA20783	1
NA20785	NA20785	1
NA20786	NA20786	2
NA20787	NA20787	1
NA20790	NA20790	2
NA20792	NA20792	1
NA20795	NA20795	2
NA20796	NA20796	1
NA20797	NA20797	2
NA20798	NA20798	1
NA20799	NA20799	2
NA20800	NA20800	2
NA20801	NA20801	1
NA20802	NA20802	2
NA20803	NA20803	1
NA20804	NA20804	2
NA20805	NA20805	1
NA20806	NA20806	1
NA20807	NA20807	2
NA20808	NA20808	2
NA20809	NA20809	1
NA20810	NA20810	1
NA20811	NA20811	1
NA20812	NA20812	1
NA20813	NA20813	2
NA20814	NA20814	1
NA20815	NA20815	1
NA20818	NA20818	2
NA20819	NA20819	2
NA20821	NA20821	2
NA20822	NA20822	2
NA20826	NA20826	2
NA20827	NA20827	1
NA20828	NA20828	2
NA20832	NA20832	2
NA20845	NA20845	1
NA20846	NA20846	1
NA20847	NA20847	2
NA20849	NA20849	2
NA20850	NA20850	1
NA20851	NA20851	2
NA20852	NA20852	1
NA20853	NA20853	2
NA20854	NA20854	2
NA20856	NA20856	2
NA20858	NA20858	1
NA20859	NA20859	2
NA20861	NA20861	1
NA20862	NA20862	2
NA20863	NA20863	1
NA20864	NA20864	1
NA20866	NA20866	1
NA20867	NA20867	1
NA20868	NA20868	2
NA20869	NA20869	2
NA20870	NA20870	1
NA20872	NA20872	2
NA20874	NA20874	2
NA20875	NA20875	2
NA20876	NA20876	2
NA20877	NA20877	2
NA20878	NA20878	2
NA20881	NA20881	2
NA20882	NA20882	2
NA20884	NA20884	1
NA20885	NA20885	1
NA20886	NA20886	2
NA20887	NA20887	1
NA20888	NA20888	2
NA20889	NA20889	1
NA20890	NA20890	1
NA20891	NA20891	1
NA20892	NA20892	2
NA20894	NA20894	2
NA20895	NA20895	1
NA20896	NA20896	2
NA20897	NA20897	1
NA20899	NA20899	2
NA20900	NA20900	2
NA20901	NA20901	1
NA20902	NA20902	2
NA20903	NA20903	1
NA20904	NA20904	1
NA20905	NA20905	1
NA20906	NA20906	2
NA20908	NA20908	2
NA20910	NA20910	2
NA20911	NA20911	1
NA21086	NA21086	2
NA21087	NA21087	1
NA21088	NA21088	2
NA21089	NA21089	2
NA21090	NA21090	1
NA21091	NA21091	1
NA21092	NA21092	1
NA21093	NA21093	1
NA21094	NA21094	1
NA21095	NA21095	1
NA21097	NA21097	2
NA21098	NA21098	1
NA21099	NA21099	1
NA21100	NA21100	1
NA21101	NA21101	2
NA21102	NA21102	2
NA21103	NA21103	2
NA21104	NA21104	1
NA21105	NA21105	1
NA21106	NA21106	2
NA21107	NA21107	1
NA21108	NA21108	2
NA21109	NA21109	1
NA21110	NA21110	2
NA21111	NA21111	1
NA21112	NA21112	1
NA21113	NA21113	1
NA21114	NA21114	1
NA21115	NA21115	1
NA21116	NA21116	1
NA21117	NA21117	1
NA21118	NA21118	1
NA21119	NA21119	1
NA21120	NA21120	2
NA21122	NA21122	2
NA21123	NA21123	1
NA21124	NA21124	1
NA21125	NA21125	2
NA21126	NA21126	1
NA21127	NA21127	1
NA21128	NA21128	1
NA21129	NA21129	1
NA21130	NA21130	1
NA21133	NA21133	1
NA21135	NA21135	1
NA21137	NA21137	2
NA21141	NA21141	2
NA21142	NA21142	2
NA21143	NA21143	2
NA21144	NA21144	2
